academic_year,legacy,gender,campus_visit_date_exists,gpa_points,est_household_income_rank,IMP_ZIP_MILES_FROM_CAMPUS,leadsource_code,minority,IMP_SCHOOL_TYPE,IMP_ZIP_MEDIAN_INCOME_2,ACCEPTED,ACTIVE_PAID,miles_norm,gpa_norm,income_rank_norm,zip_rank_norm
2020,0,Female,1,8,5,594,ITA,0,Public,35843,1,1,0.13576007326007325,0.8,0.36363636363636365,0.1995942931316412
2020,0,Female,1,10,9,183,ISH,0,IndependentNotReligious,92975,1,0,0.041666666666666664,1.0,0.7272727272727273,0.5206309247531763
2020,0,Female,1,10,5,210,ICM,0,Public,39063,1,1,0.047847985347985345,1.0,0.36363636363636365,0.21768814515539922
2020,0,Female,0,10,6,1828,ITW,0,IndependentNotReligious,65730,1,1,0.4182692307692308,1.0,0.45454545454545453,0.36753558363911193
2020,0,Female,1,4,4,39,---,0,Public,64961,1,1,0.0086996336996337,0.4,0.2727272727272727,0.36321441214648154
2020,0,Female,1,9,7,970,ICV,0,Public,91674,1,1,0.22184065934065933,0.9,0.5454545454545454,0.5133203342305337
2020,0,Female,1,3,6,152,ICM,0,IndependentNotReligious,96179,1,1,0.03456959706959707,0.3,0.45454545454545453,0.5386348694376858
2020,0,Female,1,3,5,154,ISC,0,Public,56646,1,1,0.03502747252747253,0.3,0.36363636363636365,0.31649069178078343
2020,1,Female,1,3,11,486,ISH,0,Public,40530,1,0,0.11103479853479853,0.3,0.9090909090909091,0.22593152432274488
2020,0,Female,1,6,2,71,ICM,0,Public,52119,1,1,0.016025641025641024,0.6,0.09090909090909091,0.29105253398216463
2020,0,Female,1,10,5,175,ISA,0,Public,41200,1,1,0.03983516483516483,1.0,0.36363636363636365,0.22969639415377527
2020,0,Male,1,10,8,552,ICV,0,IndependentNotReligious,105624,1,0,0.12614468864468864,1.0,0.6363636363636364,0.5917082956378082
2020,0,Male,1,3,5,389,ICV,0,Public,56257,1,1,0.08882783882783883,0.3,0.36363636363636365,0.3143048195953046
2020,0,Female,1,10,8,53,ICV,0,IndependentNotReligious,54578,1,0,0.011904761904761904,1.0,0.6363636363636364,0.30487016818291646
2020,0,Female,1,4,6,254,ICV,0,Public,55733,1,1,0.057921245421245424,0.4,0.45454545454545453,0.31136035423491665
2020,1,Female,1,6,6,115,IND,0,Public,48229,1,1,0.0260989010989011,0.6,0.45454545454545453,0.2691938121273762
2020,1,Female,0,8,6,327,ITW,1,Other,62063,1,1,0.07463369963369963,0.8,0.45454545454545453,0.3469299453250993
2020,1,Male,1,9,7,69,IRA,0,Public,68527,1,1,0.015567765567765568,0.9,0.5454545454545454,0.38325251038148805
2020,0,Female,1,10,12,107,ICV,0,Public,72391,1,1,0.024267399267399268,1.0,1.0,0.4049651328099977
2020,1,Male,1,4,5,108,IRB,0,Public,61082,1,1,0.024496336996336996,0.4,0.36363636363636365,0.34141750158742645
2020,1,Female,1,9,9,87,IRB,0,IndependentNotReligious,51314,1,1,0.019688644688644688,0.9,0.7272727272727273,0.28652907097622515
2020,0,Female,1,10,2,80,ISH,1,Public,35672,1,1,0.018086080586080588,1.0,0.09090909090909091,0.198633408443423
2020,1,Female,1,10,6,124,IRA,0,IndependentNotReligious,44313,1,1,0.02815934065934066,1.0,0.45454545454545453,0.24718899084630902
2020,1,Female,1,3,8,133,IRA,0,IndependentNotReligious,96891,1,1,0.03021978021978022,0.3,0.6363636363636364,0.5426357460342435
2020,0,Female,1,5,5,63,ISH,0,Public,74793,1,1,0.014194139194139194,0.5,0.36363636363636365,0.4184624721146768
2020,1,Female,0,10,6,327,ISC,1,Public,62063,1,1,0.07463369963369963,1.0,0.45454545454545453,0.3469299453250993
2020,0,Male,1,9,6,87,IFA,0,Public,63399,1,1,0.019688644688644688,0.9,0.45454545454545453,0.35443720815234797
2020,0,Female,1,8,4,14,IRB,0,Public,43009,1,1,0.002976190476190476,0.8,0.2727272727272727,0.23986154269755733
2020,1,Female,1,0,6,78,IRA,0,Public,65260,1,0,0.017628205128205128,0.0,0.45454545454545453,0.36489455554868766
2020,0,Male,1,10,5,187,IOC,0,Public,80473,1,1,0.042582417582417584,1.0,0.36363636363636365,0.4503795775478897
2020,0,Male,1,5,5,59,IAX,1,IndependentNotReligious,51576,1,1,0.013278388278388278,0.5,0.36363636363636365,0.2880013036564191
